,name,date,rank
0,newYear,2015-01-01,S-
1,newYear,2015-01-02,S-
2,newYear,2015-01-03,S-
3,newYear,2016-01-01,S-
4,newYear,2016-01-02,S-
5,newYear,2016-01-03,S-
6,newYear,2016-12-31,S-
7,newYear,2017-01-01,S-
8,newYear,2017-01-02,S-
9,newYear,2017-12-30,S-
10,newYear,2017-12-31,S-
11,newYear,2018-01-01,S-
12,newYear,2018-12-30,S-
13,newYear,2018-12-31,S-
14,newYear,2019-01-01,S-
15,spring,2015-02-18,A
16,spring,2015-02-19,A
17,spring,2015-02-20,A
18,spring,2015-02-21,A
19,spring,2015-02-22,A
20,spring,2015-02-23,A
21,spring,2015-02-24,A
22,spring,2016-02-07,A
23,spring,2016-02-08,A
24,spring,2016-02-09,A
25,spring,2016-02-10,A
26,spring,2016-02-11,A
27,spring,2016-02-12,A
28,spring,2016-02-13,A
29,spring,2017-01-27,A
30,spring,2017-01-28,A
31,spring,2017-01-29,A
32,spring,2017-01-30,A
33,spring,2017-01-31,A
34,spring,2017-02-01,A
35,spring,2017-02-02,A
36,spring,2018-02-15,A
37,spring,2018-02-16,A
38,spring,2018-02-17,A
39,spring,2018-02-18,A
40,spring,2018-02-19,A
41,spring,2018-02-20,A
42,spring,2018-02-21,A
43,spring,2019-02-04,A
44,spring,2019-02-05,A
45,spring,2019-02-06,A
46,spring,2019-02-07,A
47,spring,2019-02-08,A
48,spring,2019-02-09,A
49,spring,2019-02-10,A
50,qingMing,2015-04-04,A
51,qingMing,2015-04-05,A
52,qingMing,2015-04-06,A
53,qingMing,2016-04-02,A
54,qingMing,2016-04-03,A
55,qingMing,2016-04-04,A
56,qingMing,2017-04-02,A
57,qingMing,2017-04-03,A
58,qingMing,2017-04-04,A
59,qingMing,2018-04-05,A
60,qingMing,2018-04-06,A
61,qingMing,2018-04-07,A
62,qingMing,2019-04-05,A
63,qingMing,2019-04-06,A
64,qingMing,2019-04-07,A
65,laborDay,2015-05-01,A
66,laborDay,2015-05-02,A
67,laborDay,2015-05-03,A
68,laborDay,2016-04-30,A
69,laborDay,2016-05-01,A
70,laborDay,2016-05-02,A
71,laborDay,2017-04-29,A
72,laborDay,2017-04-30,A
73,laborDay,2017-05-01,A
74,laborDay,2018-04-29,A
75,laborDay,2018-04-30,A
76,laborDay,2018-05-01,A
77,laborDay,2019-05-01,A
78,laborDay,2019-05-02,A
79,laborDay,2019-05-03,A
80,laborDay,2019-05-04,A
81,dragon,2015-06-20,A
82,dragon,2015-06-21,A
83,dragon,2015-06-22,A
84,dragon,2016-06-09,A
85,dragon,2016-06-10,A
86,dragon,2016-06-11,A
87,dragon,2017-05-28,A
88,dragon,2017-05-29,A
89,dragon,2017-05-30,A
90,dragon,2018-06-16,A
91,dragon,2018-06-17,A
92,dragon,2018-06-18,A
93,dragon,2019-06-07,A
94,dragon,2019-06-08,A
95,dragon,2019-06-09,A
96,midAutumn,2015-09-26,A
97,midAutumn,2015-09-27,A
98,midAutumn,2016-09-15,A
99,midAutumn,2016-09-16,A
100,midAutumn,2016-09-17,A
101,midAutumn,2017-10-01,A
102,midAutumn,2017-10-02,A
103,midAutumn,2017-10-03,A
104,midAutumn,2017-10-04,A
105,midAutumn,2017-10-05,A
106,midAutumn,2017-10-06,A
107,midAutumn,2017-10-07,A
108,midAutumn,2017-10-08,A
109,midAutumn,2018-09-22,A
110,midAutumn,2018-09-23,A
111,midAutumn,2018-09-24,A
112,midAutumn,2019-09-13,A
113,midAutumn,2019-09-14,A
114,midAutumn,2019-09-15,A
115,national,2015-10-01,A
116,national,2015-10-02,A
117,national,2015-10-03,A
118,national,2015-10-04,A
119,national,2015-10-05,A
120,national,2015-10-06,A
121,national,2015-10-07,A
122,national,2016-10-01,A
123,national,2016-10-02,A
124,national,2016-10-03,A
125,national,2016-10-04,A
126,national,2016-10-05,A
127,national,2016-10-06,A
128,national,2016-10-07,A
129,national,2017-10-01,A
130,national,2017-10-02,A
131,national,2017-10-03,A
132,national,2017-10-04,A
133,national,2017-10-05,A
134,national,2017-10-06,A
135,national,2017-10-07,A
136,national,2017-10-08,A
137,national,2018-10-01,A
138,national,2018-10-02,A
139,national,2018-10-03,A
140,national,2018-10-04,A
141,national,2018-10-05,A
142,national,2018-10-06,A
143,national,2018-10-07,A
144,national,2019-10-01,A
145,national,2019-10-02,A
146,national,2019-10-03,A
147,national,2019-10-04,A
148,national,2019-10-05,A
149,national,2019-10-06,A
150,national,2019-10-07,A
151,women,2015-03-08,A
152,women,2016-03-08,A
153,women,2017-03-08,A
154,women,2018-03-08,A
155,women,2019-03-08,A
156,mother,2015-05-10,A
157,mother,2016-05-08,A
158,mother,2017-05-14,A
159,mother,2018-05-13,A
160,mother,2019-05-12,A
161,father,2015-06-21,A
162,father,2016-06-19,A
163,father,2017-06-18,A
164,father,2018-06-17,A
165,father,2019-06-16,A
166,double11,2015-11-11,S
167,double11,2016-11-11,S
168,double11,2017-11-11,S
169,double11,2018-11-11,S
170,double11,2019-11-11,S
171,double12,2017-12-12,S
172,double12,2018-12-12,S
173,double12,2019-12-12,S
174,six18,2015-06-18,S
175,six18,2016-06-18,S
176,six18,2017-06-18,S
177,six18,2018-06-18,S
178,six18,2019-06-18,S
